"UNIQUE_ID","PRODUCT_NAME","COMPANY","PRODUCT_TYPE","PRODUCT_CATEGORY","COST_PRICE","SELLING_PRICE","QUANTITY_DEMANDED","PROFIT","PROFIT_PERCENT","NET_PROFIT"
"1","GSK01","A Masks","A","hygiene","mask",160,200,890,40,25,35600
"2","GSK02","N hand sanitizer,350 ml","N","hygiene","sanitizer",248,400,800,152,61.2903225806452,121600
"3","GSK03","G Channa Dal, 1kG","G","foodgrains&spices","pulses(dal)",162,180,456,18,11.1111111111111,8208
"4","GSK04","I Organic Raisins,100g","I","Organic food","Dry Fruits",77.14,133,100,55.86,72.4137931034483,5586
"5","GSK05","S Body oil","S","beauty products","bodycare",494.5,593.4,111,98.9,20,10977.9
"6","GSK06","S AloeverS Gel","S","beauty products","bodycare",445.05,534.06,111,89.0099999999999,20,9880.10999999999
"7","GSK07","S edible oil,1L","S","foodgrains&spices","edible oil",270,300,360,30,11.1111111111111,10800
"8","GSK08","G Organic Flour 1kg","G","Organic food","Flour",56.84,98,52,41.16,72.4137931034483,2140.32
"9","GSK09","Z Organic Fennel,100 g","Z","Organic food","Whole Spices",56.84,98,27,41.16,72.4137931034483,1111.32
"10","GSK10","A mosquitto repellent","A","household","repellents",171,225,353,54,31.5789473684211,19062
"11","GSK11","Z Dried Cranberries,100g","Z","Packed Food","Dry Fruits",125,143.75,500,18.75,15,9375
"12","GSK12","I chocolate flavour Cornflakes, 1kg","I","Packed Food","Dry Fruits",515,592.25,188,77.25,15,14523
"13","GSK13","E disinfectant spray,250 ml","E","hygiene","disinfectant",171.76,226,454,54.24,31.5789473684211,24624.96
"14","GSK14","N hair oil,1L","N","hygiene","haircare",450,500,400,50,11.1111111111111,20000
"15","GSK15","A Body oil","A","beauty products","bodycare",516.26,619.512,119,103.252,20,12286.988
"16","GSK16","J Almonds,100g","J","Packed Food","Dry Fruits",70,80.5,544,10.5,15,5712
"17","GSK17","Z Organic Red chilly, 100 g","Z","Organic food","Whole Spices",32.48,56,22,23.52,72.4137931034483,517.44
"18","GSK18","Z Apricots,100g","Z","Packed Food","Dry Fruits",155,178.25,476,23.25,15,11067
"19","GSK19","A mosquitto coil","A","household","repellents",95,125,353,30,31.5789473684211,10590
"20","GSK20","Z Organic Walnuts,100g","Z","Packed Food","Dry Fruits",217,249.55,426,32.55,15,13866.3
"21","GSK21","G Cumin, 100 g","G","foodgrains&spices","Whole Spices",38.94,59,541,20.06,51.5151515151515,10852.46
"22","GSK22","M disinfectant spray,250 ml","M","hygiene","disinfectant",172.52,227,452,54.48,31.578947368421,24624.96
"23","GSK23","B Kajal","B","beauty products","eye-makeup",203.82,244.584,292,40.764,20,11903.088
"24","GSK24","Z Organic Hazel Nuts,100g","Z","Organic food","Dry Fruits",354.84,611.8,52,256.96,72.4157366700485,13361.92
"25","GSK25","N strawberry flavour Oats, 1kg","N","Packed Food","Dry Fruits",367,422.05,306,55.05,15,16845.3
"26","GSK26","J Organic Raisins,100g","J","Packed Food","Dry Fruits",70,80.5,544,10.5,15,5712
"27","GSK27","G Cheese  Chiplets, 200 g (8 Cubes)","G","dairy products","cheese",181,211,441,30,16.5745856353591,13230
"28","GSK28","E hand sanitizer,350 ml","E","hygiene","sanitizer",195.3,315,897,119.7,61.2903225806452,107370.9
"29","GSK29","G Organic Peanut , 1 kg","G","Organic food","cereals",162.4,280,52,117.6,72.4137931034483,6115.2
"30","GSK30","Z Organic Almonds,100g","Z","Organic food","Dry Fruits",306.12,527.8,220,221.68,72.4160459950346,48769.6
"31","GSK31","G Cardamom, 100 g","G","foodgrains&spices","Whole Spices",203.94,309,291,105.06,51.5151515151515,30572.46
"32","GSK32","T Red chilly, 100 g","T","foodgrains&spices","Whole Spices",16.5,25,575,8.5,51.5151515151515,4887.5
"33","GSK33","H Fruit Juice  Mango, 2x1.5 L Multipack","H","beverage","fruit juice",168.72,222,355,53.28,31.5789473684211,18914.4
"34","GSK34","Z Almonds,100g","Z","Packed Food","Dry Fruits",75,86.25,540,11.25,15,6075
"35","GSK35","S perfume","S","beauty products","bodycare",602,722.4,20,120.4,20,2408
"36","GSK36","B Lip balm","B","beauty products","bodycare",252.2,302.64,221,50.44,20,11147.24
"37","GSK37","T Matar Dal, 1kg","T","foodgrains&spices","pulses(dal)",72,80,536,8,11.1111111111111,4288
"38","GSK38","S Bay Leaf, 100 g","S","foodgrains&spices","Whole Spices",19.8,30,570,10.2,51.5151515151515,5814
"39","GSK39","M disinfectant spray,250 ml","M","hygiene","disinfectant",172.52,227,452,54.48,31.578947368421,24624.96
"40","GSK40","J Organic Figs,100g","J","Organic food","Dry Fruits",357.28,616,38,258.72,72.4137931034483,9831.36
"41","GSK41","T Chakki attT 1kg","T","foodgrains&spices","grains",36,49.5,568,13.5,37.5,7668
"42","GSK42","S room freshner","S","household","freshners",272.08,358,231,85.92,31.5789473684211,19847.52
"43","GSK43","G chocolate flavour Oats, 1kg","G","Packed Food","Dry Fruits",313,359.95,350,46.95,15,16432.5
"44","GSK44","G Organic Bay Leaf, 100 g","G","Organic food","Whole Spices",40.6,70,22,29.4,72.4137931034483,646.8
"45","GSK45","C facewash","C","beauty products","bodycare",253.08,303.696,245,50.616,20,12400.92
"46","GSK46","Z Organic Ginger Candies,100g","Z","Packed Food","Dry Fruits",137,157.55,490,20.55,15,10069.5
"47","GSK47","J Organic Walnuts,100g","J","Packed Food","Dry Fruits",210,241.5,432,31.5,15,13608
"48","GSK48","N rice bran oil,1L","N","foodgrains&spices","edible oil",230.4,256,395,25.6,11.1111111111111,10112
"49","GSK49","A orange lipstick","A","beauty products","lipstick",537.5,645,23,107.5,20,2472.5
"50","GSK50","Z Organic Bay Leaf, 100 g","Z","Organic food","Whole Spices",48.72,84,10,35.28,72.4137931034483,352.8
"51","GSK51","I Dates,100g","I","Packed Food","Dry Fruits",133,152.95,494,19.95,15,9855.29999999999
"52","GSK52","C Quick Washer Gel,1L","C","household","detergent",268.28,353,350,84.72,31.5789473684211,29652
"53","GSK53","S Groundnut, 1kg","S","foodgrains&spices","cereals",225,250,400,25,11.1111111111111,10000
"54","GSK54","I Organic Walnuts,100g","I","Packed Food","Dry Fruits",215,247.25,428,32.25,15,13803
"55","GSK55","I Organic Figs,100g","I","Organic food","Dry Fruits",361.34,623,22,261.66,72.4137931034483,5756.52
"56","GSK56","Z Figs,100g","Z","Packed Food","Dry Fruits",185,212.75,452,27.75,15,12543
"57","GSK57","S Coriander, 100 g","S","foodgrains&spices","Powdered Spices",19.8,30,570,10.2,51.5151515151515,5814
"58","GSK58","N orange flavour Cornflakes, 1kg","N","Packed Food","Dry Fruits",527,606.05,178,79.05,15,14070.9
"59","GSK59","Z Organic Dates,100g","Z","Organic food","Dry Fruits",273.64,471.8,22,198.16,72.416313404473,4359.52
"60","GSK60","Z Walnuts,100g","Z","Packed Food","Dry Fruits",185,212.75,452,27.75,15,12543
"61","GSK61","J Organic Figs,100g","J","Packed Food","Dry Fruits",220,253,424,33,15,13992
"62","GSK62","J Organic Walnuts,100g","J","Organic food","Dry Fruits",349.16,602,23,252.84,72.4137931034483,5815.32
"63","GSK63","G Fennel,100 g","G","foodgrains&spices","Whole Spices",32.34,49,551,16.66,51.5151515151515,9179.66
"64","GSK64","J chocolate flavour Oats, 1kg","J","Packed Food","Dry Fruits",310,356.5,352,46.5,15,16368
"65","GSK65","B 3ply mask","B","hygiene","mask",12.8,16,1080,3.2,25,3456
"66","GSK66","A disinfectant spray,250 ml","A","hygiene","disinfectant",167.2,220,450,52.8,31.5789473684211,23760
"67","GSK67","C disinfectant spray,250 ml","C","hygiene","disinfectant",169.48,223,455,53.52,31.5789473684211,24351.6
"68","GSK68","S Peanut , 1 kg","S","foodgrains&spices","cereals",135,150,480,15,11.1111111111111,7200
"69","GSK69","B perfume","B","beauty products","bodycare",602,722.4,20,120.4,20,2408
